project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,slack_id,title,slug,created_at,updated_at,active,commit_events,push_events,issues_events,alert_events,confidential_issues_events,merge_requests_events,tag_push_events,deployment_events,note_events,confidential_note_events,pipeline_events,wiki_page_events,job_events,comment_on_event_enabled,vulnerability_events
168,gitlab-ci-workshop,ovidiu.varveri/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/ovidiu.varveri/gitlab-ci-workshop,2020-11-11T14:59:32.464+01:00,user,ovidiu.varveri,FALSE,internal,377,Jira,jira,2020-11-11T14:59:32.564+01:00,2020-11-11T14:59:32.564+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
168,gitlab-ci-workshop,ovidiu.varveri/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/ovidiu.varveri/gitlab-ci-workshop,2020-11-11T14:59:32.464+01:00,user,ovidiu.varveri,FALSE,internal,750,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
167,gitlab-ci-workshop,clemens.kaposi/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/clemens.kaposi/gitlab-ci-workshop,2020-11-11T16:00:33.032+01:00,user,clemens.kaposi,FALSE,internal,376,Jira,jira,2020-11-11T14:59:29.435+01:00,2020-11-11T14:59:29.435+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
167,gitlab-ci-workshop,clemens.kaposi/gitlab-ci-workshop,https://gitlab.intern.has-to-be.com/clemens.kaposi/gitlab-ci-workshop,2020-11-11T16:00:33.032+01:00,user,clemens.kaposi,FALSE,internal,749,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
166,gitlab-ci-workshop-michael,michael.pilz/gitlab-ci-workshop-michael,https://gitlab.intern.has-to-be.com/michael.pilz/gitlab-ci-workshop-michael,2020-11-11T14:58:41.017+01:00,user,michael.pilz,FALSE,internal,375,Jira,jira,2020-11-11T14:58:41.064+01:00,2020-11-11T14:58:41.064+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
166,gitlab-ci-workshop-michael,michael.pilz/gitlab-ci-workshop-michael,https://gitlab.intern.has-to-be.com/michael.pilz/gitlab-ci-workshop-michael,2020-11-11T14:58:41.017+01:00,user,michael.pilz,FALSE,internal,748,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
164,gitlab-ci-test-hama,markus.hauthaler/gitlab-ci-test-hama,https://gitlab.intern.has-to-be.com/markus.hauthaler/gitlab-ci-test-hama,2020-11-12T06:52:06.644+01:00,user,markus.hauthaler,FALSE,private,373,Jira,jira,2020-11-11T14:55:32.305+01:00,2020-11-11T14:55:32.305+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
164,gitlab-ci-test-hama,markus.hauthaler/gitlab-ci-test-hama,https://gitlab.intern.has-to-be.com/markus.hauthaler/gitlab-ci-test-hama,2020-11-12T06:52:06.644+01:00,user,markus.hauthaler,FALSE,private,747,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
163,pycharm-settings,david.schneider/pycharm-settings,https://gitlab.intern.has-to-be.com/david.schneider/pycharm-settings,2022-11-28T13:24:56.188+01:00,user,david.schneider,FALSE,private,372,Jira,jira,2020-11-10T07:40:39.136+01:00,2020-11-10T07:40:39.136+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
163,pycharm-settings,david.schneider/pycharm-settings,https://gitlab.intern.has-to-be.com/david.schneider/pycharm-settings,2022-11-28T13:24:56.188+01:00,user,david.schneider,FALSE,private,746,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
